"TOA5","082_im_hinteren_eis","CR3000","11527","CR3000.Std.29","CPU:20170824_HinteresEis_Ver1.CR3","6258","LowFreq"
"TIMESTAMP","RECORD","TAact_1m_Avg","TAact_2m_Avg","RHact_1m_Avg","RHact_2m_Avg","Pact","panel_temp_Avg","batt_volt_Avg","sw_in_raw_Avg","sw_out_raw_Avg","lw_in_raw_Avg","lw_out_raw_Avg","cnr4_T_C_Avg","Snow_Depth","Raw_Dist","SignalQuality","cnr4_vent_Tot"
"TS","RN","C","C","%","%","mbar","deg_C","V","mV","mV","mV","mV","deg_C","","","",""
"","","Avg","Avg","Avg","Avg","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Tot"
"2018-06-22 09:43:00",418586,-1.523846,-1.002252,62.03446,57.97121,685.8639,4.956155,11.64551,12.67671,2.735648,-1.21816,0.08375561,0.3461214,0.3900309,1.113,176,0
"2018-06-22 09:44:00",418587,-1.511588,-0.9957998,62.18849,58.36229,685.6649,5.119596,11.6457,12.69492,2.733168,-1.225837,0.08926784,0.3244309,0.3900849,1.113,174,0
"2018-06-22 09:45:00",418588,-1.543443,-1.096173,63.33221,59.13374,685.7469,5.281784,11.64658,12.62608,2.699765,-1.225575,0.09116071,0.2981643,0.3891827,1.114,181,0
"2018-06-22 09:46:00",418589,-1.536157,-1.065662,63.91655,59.23367,686.4059,5.442505,11.64704,12.71114,2.740747,-1.212329,0.106391,0.31796,0.3880779,1.115,182,0
"2018-06-22 09:47:00",418590,-1.518923,-1.005298,63.83219,58.82767,686.0244,5.602389,11.64723,12.89895,2.782593,-1.179086,0.1271853,0.3964773,0.3879629,1.115,184,0
"2018-06-22 09:48:00",418591,-1.46302,-0.9270006,63.3138,58.85793,685.9887,5.760327,11.64815,12.91668,2.791056,-1.193399,0.1195259,0.4541911,0.3888868,1.114,178,0
"2018-06-22 09:49:00",418592,-1.455687,-0.9845406,64.41061,59.93654,686.2028,5.91653,11.64777,12.70703,2.735581,-1.229115,0.1102235,0.4958789,0.3891108,1.114,182,0
"2018-06-22 09:50:00",418593,-1.494452,-1.040561,64.86438,61.02058,686.3174,6.071121,11.64753,12.69621,2.730765,-1.228577,0.114679,0.510393,0.3899528,1.113,178,0
"2018-06-22 09:51:00",418594,-1.394215,-0.9121245,66.70112,61.42101,686.2656,6.224698,11.64816,12.76929,2.727446,-1.240559,0.1212459,0.5455494,0.3876611,1.115,185,0
"2018-06-22 09:52:00",418595,-1.322396,-0.8845976,64.71896,59.18439,686.2808,6.366332,11.64852,12.78657,2.737222,-1.245482,0.1218807,0.5778635,0.3897338,1.113,174,0
"2018-06-22 09:53:00",418596,-1.353306,-0.8858045,66.37677,61.71535,686.6596,6.496721,11.6487,12.76721,2.722822,-1.245798,0.1243084,0.6141487,0.3886293,1.114,182,0
"2018-06-22 09:54:00",418597,-1.30283,-0.963406,66.70895,62.8059,686.8226,6.534778,11.64716,12.79895,2.718717,-1.252067,0.1260494,0.6578927,0.3886983,1.114,182,0
"2018-06-22 09:55:00",418598,-1.253478,-0.9533768,64.85608,60.90647,686.6232,6.331627,11.64352,12.8357,2.72821,-1.252525,0.1283606,0.7331444,0.3886178,1.114,185,0
"2018-06-22 09:56:00",418599,-1.317151,-0.9974766,59.30065,56.36982,686.3749,6.007594,11.64384,12.81383,2.72925,-1.256036,0.1361006,0.8070455,0.390708,1.112,188,0
"2018-06-22 09:57:00",418600,-1.366152,-0.988418,61.6046,58.5046,686.1429,5.702415,11.64223,12.84212,2.744187,-1.263153,0.119496,0.8586915,0.3889987,1.114,173,0
"2018-06-22 09:58:00",418601,-1.475301,-1.049286,62.92321,59.90693,686.2255,5.479033,11.6424,12.82967,2.72464,-1.261916,0.1177873,0.8427864,0.3880246,1.115,177,0
"2018-06-22 09:59:00",418602,-1.501957,-1.076267,65.14528,61.03172,686.3582,5.308824,11.64301,12.86843,2.728332,-1.251112,0.1245231,0.8250672,0.3889222,1.114,177,0
"2018-06-22 10:00:00",418603,-1.498279,-1.054679,64.29185,60.0765,686.4414,5.142375,11.64176,12.90461,2.728594,-1.246258,0.1428201,0.8410729,0.3900759,1.113,177,0
"2018-06-22 10:01:00",418604,-1.509359,-1.124323,63.4692,58.33981,685.913,4.970721,11.64221,12.91499,2.741086,-1.239551,0.1454855,0.8869941,0.3899407,1.113,180,0
"2018-06-22 10:02:00",418605,-1.345408,-0.9962053,64.65811,60.6447,685.3358,4.823776,11.64188,12.96953,2.767403,-1.237478,0.1077197,0.8371824,0.3874444,1.115,177,0
"2018-06-22 10:03:00",418606,-1.240364,-0.8500196,60.9407,57.52947,685.452,4.686595,11.64178,13.04357,2.795882,-1.232574,0.07906853,0.7100629,0.3884628,1.114,185,0
"2018-06-22 10:04:00",418607,-1.259835,-0.8575453,61.01204,57.64641,684.8414,4.532927,11.64049,13.10995,2.810305,-1.216686,0.08431385,0.5460533,0.3875865,1.115,181,0
"2018-06-22 10:05:00",418608,-1.291488,-0.947756,60.6702,57.72127,684.5452,4.369333,11.63988,13.17305,2.833576,-1.202584,0.08376132,0.403815,0.3897626,1.113,194,0
"2018-06-22 10:06:00",418609,-1.372693,-1.017842,60.46424,57.68863,684.9421,4.186418,11.63792,13.23475,2.860337,-1.182184,0.08659362,0.2543196,0.3896815,1.113,186,0
"2018-06-22 10:07:00",418610,-1.255922,-0.9710764,63.61237,58.70596,685.1738,3.971527,11.638,13.25368,2.882511,-1.173798,0.1119794,0.2044475,0.3855143,1.117,186,0
"2018-06-22 10:08:00",418611,-1.205763,-0.8966926,63.52269,59.2269,687.1578,3.747189,11.63801,13.34917,2.888361,-1.153142,0.1176786,0.1959003,0.3873117,1.115,185,0
"2018-06-22 10:09:00",418612,-1.116054,-0.7630236,64.48363,59.82506,685.739,3.494435,11.6377,13.52868,2.935496,-1.109271,0.1424793,0.2576054,0.3862482,1.116,180,0
"2018-06-22 10:10:00",418613,-1.068263,-0.739292,62.64404,58.31797,685.6739,3.203037,11.63886,13.65606,2.975083,-1.104739,0.1341358,0.3034459,0.3890654,1.113,184,0
"2018-06-22 10:11:00",418614,-1.008184,-0.7538624,63.22137,59.47025,686.4681,2.87258,11.63772,13.60487,2.937943,-1.102912,0.140941,0.3215079,0.3890103,1.113,185,0
"2018-06-22 10:12:00",418615,-1.005237,-0.7504139,62.51896,59.33616,686.1391,2.492577,11.63644,13.77943,2.982646,-1.078011,0.1438924,0.323302,0.3860892,1.116,176,0
"2018-06-22 10:13:00",418616,-1.109993,-0.7765245,63.42148,59.34288,685.4973,2.157965,11.63541,13.61006,2.952722,-1.123712,0.1491233,0.3337441,0.3883539,1.114,173,0
"2018-06-22 10:14:00",418617,-1.168205,-0.838381,62.46431,58.95321,686.209,1.931845,11.63581,13.44007,2.901506,-1.140185,0.1334573,0.3093926,0.3893508,1.113,188,0
"2018-06-22 10:15:00",418618,-1.170986,-0.8174314,63.73632,58.54929,686.2441,1.789819,11.6363,13.39719,2.893252,-1.154586,0.1629539,0.329027,0.388345,1.114,187,0
"2018-06-22 10:16:00",418619,-1.18921,-0.8563892,62.97364,58.80542,686.4617,1.700578,11.63718,13.40464,2.917939,-1.119415,0.1592533,0.3995213,0.3895037,1.113,178,0
"2018-06-22 10:17:00",418620,-1.333377,-0.9738396,63.67547,60.47033,686.447,1.644217,11.63837,13.74727,2.910074,-1.095826,0.1746075,0.4946089,0.3887426,1.114,192,0
"2018-06-22 10:18:00",418621,-1.336126,-0.9367666,64.33354,61.35137,686.6797,1.62211,11.63831,14.14677,3.04883,-1.005763,0.1702528,0.6005015,0.3896722,1.113,185,0
"2018-06-22 10:19:00",418622,-1.285887,-0.8238077,65.39607,61.47529,686.401,1.629468,11.63839,14.12156,3.047961,-1.012088,0.1756866,0.6949239,0.3875675,1.115,186,0
"2018-06-22 10:20:00",418623,-1.270978,-0.8055763,64.68514,61.25494,687.0964,1.659122,11.63909,14.19981,3.053307,-1.012305,0.188343,0.7602576,0.3895149,1.113,190,0
"2018-06-22 10:21:00",418624,-1.225579,-0.8295317,65.58597,61.56229,687.1483,1.702866,11.63815,14.77057,3.194578,-0.9460666,0.2282332,0.9050359,0.3874539,1.115,185,0
"2018-06-22 10:22:00",418625,-1.261034,-0.9685246,65.99425,62.33897,686.8016,1.71319,11.63827,12.36574,2.706683,-0.8599991,0.2495209,1.044291,0.3900639,1.113,185,0
"2018-06-22 10:23:00",418626,-1.586095,-1.420176,68.22557,64.99115,686.6205,1.680325,11.63865,5.83567,1.297225,-0.9397173,0.1760472,1.010928,0.3901916,1.113,187,0
"2018-06-22 10:24:00",418627,-1.474706,-1.24308,67.53001,64.91808,686.6876,1.645418,11.63932,12.43138,2.66624,-0.9277247,0.1535565,0.9777274,0.3887459,1.114,184,0
"2018-06-22 10:25:00",418628,-1.393439,-0.9066191,66.80176,64.66218,686.9362,1.641895,11.63978,15.00989,3.251662,-0.8532492,0.2046096,1.083922,0.387069,1.116,179,0
"2018-06-22 10:26:00",418629,-1.590695,-1.075995,67.74783,65.29893,686.705,1.668124,11.63946,14.32908,3.090009,-0.9948286,0.2426399,1.299538,0.3911862,1.112,177,0
"2018-06-22 10:27:00",418630,-1.52716,-1.167597,72.72302,68.51613,686.821,1.718266,11.63986,12.63176,2.695136,-1.153952,0.1907834,1.412163,0.3889288,1.114,188,0
"2018-06-22 10:28:00",418631,-1.499094,-1.142856,73.01517,70.00481,686.8049,1.787704,11.64041,13.88562,2.950408,-1.144051,0.1966838,1.495841,0.3889756,1.114,190,0
"2018-06-22 10:29:00",418632,-1.540496,-1.154389,73.40655,70.9137,686.8384,1.871617,11.64081,14.32744,3.042624,-1.074216,0.2338095,1.619937,0.3900335,1.113,190,0
"2018-06-22 10:30:00",418633,-1.497573,-1.074132,71.95458,69.2047,686.7556,1.966425,11.64098,14.76481,3.141605,-0.9913837,0.2325017,1.749858,0.3891306,1.114,186,0
"2018-06-22 10:31:00",418634,-1.618098,-1.09825,69.40032,66.5532,686.8051,2.070586,11.64203,14.79228,3.153126,-1.006683,0.2435628,1.843878,0.3893676,1.114,179,0
